id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,bp_issued_date,co_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect,construction_status,milestone_achieved
135,2150 Kittredge St,,,169,0,completed,2021-01-01,,,,2024-03-20,,,,,,,,CO Issued
136,1951 Shattuck Ave,,,163,0,completed,2017-10-20,,,2022-09-08,2024-10-24,,,,,,,,CO Issued
96,2099 M L KING JR Way,,,72,0,completed,2018-10-24,,,2023-07-17,2024-05-17,,,,,,,,CO Issued
228,2527 SAN PABLO Ave,,,63,0,completed,,,,,2024-04-30,,,,,,,,CO Issued
219,2701 Shattuck Ave,,,57,0,completed,,,,,2024-07-18,,,,,,,,CO Issued
202,1027 HEINZ,,,3,0,completed,,,,,2024-11-07,,,,,,,,CO Issued
190,1341 ADDISON,,,2,0,completed,,,,,2024-10-16,,,,,,,,CO Issued
200,2226 DWIGHT Way,,,2,0,completed,,,,,2024-06-03,,,,,,,,CO Issued
224,2233 GRANT St,,,2,0,completed,,,,,2024-03-28,,,,,,,,CO Issued
234,1912 MONTEREY Ave,,,2,0,completed,,,,,2024-02-28,,,,,,,,CO Issued
269,2737 FOREST Ave,,,2,0,completed,,,,,2024-03-11,,,,,,,,CO Issued
274,1683 Oxford St,,,2,0,completed,,,,,2024-07-24,,,,,,,,CO Issued
185,1609 FIFTH St,,,1,0,completed,,,,,2024-03-04,,,,,,,,CO Issued
186,1822 WOOLSEY St,,,1,0,completed,,,,,2024-01-03,,,,,,,,CO Issued
187,1912 STUART St,,,1,0,completed,,,,,2024-04-29,,,,,,,,CO Issued
188,2024 Prince Street,,,1,0,completed,,,,,2024-11-04,,,,,,,,CO Issued
189,2150 RUSSELL St,,,1,0,completed,,,,,2024-02-09,,,,,,,,CO Issued
191,2422 CALIFORNIA St,,,1,0,completed,,,,,2024-03-29,,,,,,,,CO Issued
192,2425 Prospect St,,,1,0,completed,,,,,2024-07-10,,,,,,,,CO Issued
193,2818 Webster St,,,1,0,completed,,,,,2024-09-24,,,,,,,,CO Issued
194,626 Peralta Ave,,,1,0,completed,,,,,2024-12-12,,,,,,,,CO Issued
195,844 Miramar Ave,,,1,0,completed,,,,,2024-09-12,,,,,,,,CO Issued
196,921 ENSENADA Ave,,,1,0,completed,,,,,2024-04-29,,,,,,,,CO Issued
197,0 Cragmont Ave,,,1,0,completed,,,,,2024-10-24,,,,,,,,CO Issued
198,2312 Eighth St,,,1,0,completed,,,,,2024-12-17,,,,,,,,CO Issued
199,1709 Sacramento St,,,1,0,completed,,,,,2024-09-24,,,,,,,,CO Issued
201,2419 Jefferson Ave,,,1,0,completed,,,,,2024-06-26,,,,,,,,CO Issued
204,2723 Forest Ave,,,1,0,completed,,,,,2024-11-13,,,,,,,,CO Issued
205,28 Hopkins Ct,,,1,0,completed,,,,,2024-08-20,,,,,,,,CO Issued
206,35 Hillcrest Rd,,,1,0,completed,,,,,2024-05-13,,,,,,,,CO Issued
207,483 Boynton Ave,,,1,0,completed,,,,,2024-06-27,,,,,,,,CO Issued
210,1429 Bancroft Way,,,1,0,completed,,,,,2024-07-02,,,,,,,,CO Issued
211,151 Tunnel Rd,,,1,0,completed,,,,,2024-07-17,,,,,,,,CO Issued
212,1625 SEVENTH St,,,1,0,completed,,,,,2024-04-24,,,,,,,,CO Issued
213,2516 Mathews St,,,1,0,completed,,,,,2024-11-22,,,,,,,,CO Issued
214,1725 BERKELEY Way,,,1,0,completed,,,,,2024-04-19,,,,,,,,CO Issued
215,2610 Warring St,,,1,0,completed,,,,,2024-07-25,,,,,,,,CO Issued
216,3216 California St,,,1,0,completed,,,,,2024-06-12,,,,,,,,CO Issued
218,886 Arlington Ave,,,1,0,completed,,,,,2024-12-06,,,,,,,,CO Issued
221,1340 QUEENS Rd,,,1,0,completed,,,,,2024-02-27,,,,,,,,CO Issued
222,2164 OREGON St,,,1,0,completed,,,,,2024-04-02,,,,,,,,CO Issued
223,2215 ROOSEVELT,,,1,0,completed,,,,,2024-07-23,,,,,,,,CO Issued
225,2331 Spaulding Ave,,,1,0,completed,,,,,2024-12-11,,,,,,,,CO Issued
227,3002 HARPER St,,,1,0,completed,,,,,2024-02-28,,,,,,,,CO Issued
229,1154 Josephine St,,,1,0,completed,,,,,2024-09-23,,,,,,,,CO Issued
230,1446 Campus Dr,,,1,0,completed,,,,,2024-08-02,,,,,,,,CO Issued
231,15 Hillcrest Rd,,,1,0,completed,,,,,2024-05-06,,,,,,,,CO Issued
232,1655 Belvedere Ave,,,1,0,completed,,,,,2024-05-10,,,,,,,,CO Issued
233,1655 Tenth St,,,1,0,completed,,,,,2024-11-25,,,,,,,,CO Issued
236,3120 Deakin St,,,1,0,completed,,,,,2024-12-06,,,,,,,,CO Issued
237,3122 Eton Ave,,,1,0,completed,,,,,2024-01-31,,,,,,,,CO Issued
238,956 INDIAN ROCK Ave,,,1,0,completed,,,,,2024-03-01,,,,,,,,CO Issued
239,1023 Cragmont Ave,,,1,0,completed,,,,,2024-07-29,,,,,,,,CO Issued
240,1532 Blake St,,,1,0,completed,,,,,2024-05-22,,,,,,,,CO Issued
241,1570 POSEN Ave,,,1,0,completed,,,,,2024-01-08,,,,,,,,CO Issued
242,1812 Sixty-Second St,,,1,0,completed,,,,,2024-07-29,,,,,,,,CO Issued
243,2206 Roosevelt Ave,,,1,0,completed,,,,,2024-08-30,,,,,,,,CO Issued
244,2303 GRANT St,,,1,0,completed,,,,,2024-09-25,,,,,,,,CO Issued
246,2631 WEBSTER St,,,1,0,completed,,,,,2024-01-31,,,,,,,,CO Issued
248,1071 Page St,,,1,0,completed,,,,,2024-05-24,,,,,,,,CO Issued
249,1067 Park Hills Rd,,,1,0,completed,,,,,2024-12-05,,,,,,,,CO Issued
250,1128 Parker St,,,1,0,completed,,,,,2024-06-12,,,,,,,,CO Issued
251,1221 Carrison St,,,1,0,completed,,,,,2024-09-12,,,,,,,,CO Issued
252,1326 M L King Jr Way,,,1,0,completed,,,,,2024-09-16,,,,,,,,CO Issued
253,1332 NEILSON St,,,1,0,completed,,,,,2024-02-05,,,,,,,,CO Issued
254,1380 GILMAN,,,1,0,completed,,,,,2024-07-29,,,,,,,,CO Issued
255,1381 Ada St,,,1,0,completed,,,,,2024-11-04,,,,,,,,CO Issued
257,1630 Posen Ave,,,1,0,completed,,,,,2024-07-17,,,,,,,,CO Issued
258,1712 M L King Jr Way,,,1,0,completed,,,,,2024-10-07,,,,,,,,CO Issued
259,1724 La Vereda Rd,,,1,0,completed,,,,,2024-07-19,,,,,,,,CO Issued
260,2335 Fifth St,,,1,0,completed,,,,,2024-05-31,,,,,,,,CO Issued
261,2430 Prospect St,,,1,0,completed,,,,,2024-12-20,,,,,,,,CO Issued
263,1231 NEILSON,,,1,0,completed,,,,,2024-09-19,,,,,,,,CO Issued
264,1242 Kains Ave,,,1,0,completed,,,,,2024-06-10,,,,,,,,CO Issued
265,1305 SIXTY-SIXTH,,,1,0,completed,,,,,2024-09-06,,,,,,,,CO Issued
267,1449 ORDWAY St,,,1,0,completed,,,,,2024-04-05,,,,,,,,CO Issued
268,2433 Acton St,,,1,0,completed,,,,,2024-08-23,,,,,,,,CO Issued
270,2830 Cherry St,,,1,0,completed,,,,,2024-09-23,,,,,,,,CO Issued
271,3136 Ellis St,,,1,0,completed,,,,,2024-11-15,,,,,,,,CO Issued
272,1216 Haskell St,,,1,0,completed,,,,,2024-07-31,,,,,,,,CO Issued
275,1701 Hopkins St,,,1,0,completed,,,,,2024-07-25,,,,,,,,CO Issued
276,1709 Francisco St,,,1,0,completed,,,,,2024-12-11,,,,,,,,CO Issued
277,1325 ALCATRAZ,,,1,0,completed,,,,,2024-10-31,,,,,,,,CO Issued
278,1332 MILVIA,,,1,0,completed,,,,,2024-07-30,,,,,,,,CO Issued
279,1428 DELAWARE St,,,1,0,completed,,,,,2024-02-07,,,,,,,,CO Issued
152,1598 UNIVERSITY Ave,,,207,21,completed,2024-01-01,,2024-07-14,2024-01-01,,,,,,NX Ventures,Trachtenberg Architects,,BP Issued
139,2538 DURANT Ave,,,83,5,under_construction,2024-01-01,,2025-10-20,2024-10-01,,,,,,Martin Group / Valiance Capital,Studio KDA,,BP Issued
164,1752 SHATTUCK Ave,,,72,0,completed,2022-01-18,,2026-02-11,2024-06-13,2026-05-26,,,,,Panoramic Interests,Studio KDA,,BP Issued
143,2902 ADELINE St,,,54,0,withdrawn,2024-01-01,,2022-05-18,2024-01-01,,,,,,Realtex Group,SDT Architects,,BP Issued
157,2587 TELEGRAPH Ave,,,52,6,withdrawn,2024-01-01,,2025-04-07,2024-01-01,,,,,,Gilbane Development,,,BP Issued
141,2016 ASHBY Ave,,,50,50,withdrawn,2024-01-01,,2026-02-23,2024-06-01,,,,,,CHDC,Lowney Architecture,,BP Issued
159,2403 SAN PABLO Ave,,,36,0,under_construction,2025-01-01,,2024-05-06,2024-01-01,,,,,,,,,BP Issued
161,2555 COLLEGE Ave,,,12,1,completed,2022-02-04,,2024-04-05,2024-04-26,2025-07-25,,,,,Panoramic Interests,Trachtenberg Architects,,BP Issued
64,1515 DERBY St,,,2,0,completed,2025-01-01,,,2024-07-24,2025-05-23,,,,,,,,BP Issued
79,1111 ALLSTON Way,,,1,0,completed,2025-01-01,,,2024-03-20,,,,,,,,,BP Issued
183,2328 CHANNING Way,,,,0,permitted,,,,2024-09-05,,,,,,,,,BP Issued
133,2128 Oxford St,,,485,47,entitled,2023-03-17,,2024-10-04,,,,,,,Core Spaces,,,Entitled
150,3030 TELEGRAPH Ave,,,144,0,completed,2022-09-29,,2024-12-10,2023-10-01,2026-01-27,,,,,,,,Entitled
