permit_id,permit_number,project_id,project_address,project_stage,filed_date,issued_date,source_system,source_permit_id,scrape_file_match,capid_triplet
160,B2025-02211,147,2300 ELLSWORTH St,under_construction,,2025-09-02,cpra,,2300_ELLSWORTH_St.txt,
122,B2023-06416,150,3030 TELEGRAPH Ave,completed,,2024-10-15,cpra,,ZP2022-0170_3030_TELEGRAPH_Ave.txt,
123,B2023-06442,150,3030 TELEGRAPH Ave,completed,,2024-09-19,cpra,,none,
124,B2023-06443,150,3030 TELEGRAPH Ave,completed,,2024-09-19,cpra,,none,
125,B2024-03794,150,3030 TELEGRAPH Ave,completed,,2025-01-08,cpra,,ZP2022-0170_3030_TELEGRAPH_Ave.txt,
178,B2024-00587,152,1598 UNIVERSITY Ave,completed,,2024-07-15,cpra,,none,
179,B2024-01602,152,1598 UNIVERSITY Ave,completed,,2024-06-05,cpra,,none,
180,B2024-01924,152,1598 UNIVERSITY Ave,completed,,2024-12-16,cpra,,none,
181,B2024-05740,152,1598 UNIVERSITY Ave,completed,,2025-01-13,cpra,,none,
200,B2024-02966,153,1701 SAN PABLO Ave,under_construction,,2025-05-06,cpra,,none,
201,B2025-03904,153,1701 SAN PABLO Ave,under_construction,,2025-11-06,cpra,,none,
170,B2024-00143,159,2403 SAN PABLO Ave,under_construction,,2025-06-03,cpra,,none,
171,B2025-03049,159,2403 SAN PABLO Ave,under_construction,,2025-10-31,cpra,,none,
172,B2025-03320,159,2403 SAN PABLO Ave,under_construction,,2025-09-26,cpra,,none,
144,B2023-02975,161,2555 COLLEGE Ave,completed,,2024-04-26,cpra,,ZP2022-0019_2555_COLLEGE_Ave.txt,
145,B2024-05972,161,2555 COLLEGE Ave,completed,,2025-06-02,cpra,,ZP2022-0019_2555_COLLEGE_Ave.txt,
137,B2021-02225,172,2650 TELEGRAPH Ave,completed,,2023-08-02,cpra,,apr_2025/FULL_2650_TELEGRAPH.txt,
138,B2024-01841,172,2650 TELEGRAPH Ave,completed,,2024-11-25,cpra,,apr_2025/FULL_2650_TELEGRAPH.txt,
139,B2024-03280,172,2650 TELEGRAPH Ave,completed,,2024-11-20,cpra,,apr_2025/FULL_2650_TELEGRAPH.txt,
134,B2021-02404,173,2000 DWIGHT Way,completed,,2023-08-15,cpra,,apr_2025/FULL_2000_DWIGHT.txt,
135,B2023-00675,173,2000 DWIGHT Way,completed,,2023-08-25,cpra,,apr_2025/FULL_2000_DWIGHT.txt,
204,B2023-02354,174,1773 OXFORD St,completed,,2023-11-13,cpra,,apr_2025/FULL_1773_OXFORD.txt,
205,B2023-03067,174,1773 OXFORD St,completed,,2023-08-15,cpra,,apr_2025/FULL_1773_OXFORD.txt,
206,B2023-04569,174,1773 OXFORD St,completed,,2023-10-27,cpra,,apr_2025/FULL_1773_OXFORD.txt,
207,B2023-06274,174,1773 OXFORD St,completed,,2024-11-15,cpra,,apr_2025/FULL_1773_OXFORD.txt,
163,B2022-05117,176,2440 SHATTUCK Ave,completed,,2023-08-03,cpra,,apr_2025/FULL_2440_SHATTUCK.txt,
164,B2023-00401,176,2440 SHATTUCK Ave,completed,,2023-03-24,cpra,,apr_2025/FULL_2440_SHATTUCK.txt,
165,B2023-03611,176,2440 SHATTUCK Ave,completed,,2023-08-31,cpra,,apr_2025/FULL_2440_SHATTUCK.txt,
166,B2024-01853,176,2440 SHATTUCK Ave,completed,,2024-05-17,cpra,,apr_2025/FULL_2440_SHATTUCK.txt,
167,B2024-05368,176,2440 SHATTUCK Ave,completed,,2024-11-19,cpra,,none,
244,B2019-05575,179,2352 Shattuck Ave,completed,2019-12-20,,accela,,_raw_clipboards/2026-05-04_modera_and_8_others.txt,
162,B2024-05208,179,2352 Shattuck Ave,completed,,2024-11-22,cpra,,none,
