Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B2023-01205-REV01,"2540 BENVENUE Ave, BERKELEY CA 94704",Building Revision for B2023-01205,Install secondary breakers to remove parallel conditions. Relocation of Main Service Panel from inside to the exterior southeast side of building. No increase in valuation.,Issued,10/29/2024,
B2024-02745,"2540 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Replace water heater per housing report H2023-00821 Item # 4.,Finaled,06/04/2024,
B2023-01205,"2540 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Permit,"Replace and upgrade electrical subpanels. Move subpanels from closets to living room walls. Sheetrock repair, painting and trim work. Please reference attached plans.",Issued,03/15/2023,
ESR-2022-01772,"2540 BENVENUE Ave, BERKELEY CA 94704",,,Closed Expired,08/09/2022,
ESR-2022-01621,"2540 BENVENUE Ave, BERKELEY CA 94704",,,Closed Expired,07/25/2022,
ESR-2022-01589,"2540 BENVENUE Ave, BERKELEY CA 94704",,,Closed Expired,07/20/2022,
B2006-04006,"2540 BENVENUE AVE, 203, BERKELEY CA 94704",Mechanical Permit,Install Gas Meter & pressure test,Closed Expired,10/02/2006,
B1992-02084,"2540 BENVENUE AVE, BERKELEY CA 94704",Plumbing Permit,PERMIT CLOSED TIME LIMIT EXPIRED'MH 2/23/01,Closed Expired,11/19/1992,
B2013-02340,"2545 BENVENUE AVE, 4, BERKELEY CA 94704",Building Permit,REBUILD EXTERIOR STAIRS,Closed Expired,05/28/2013,
B2002-05344-P,"2545 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"REMODEL BATHROOMS IN UNITS A AND B: NEW TILE, NEW FIXTURES, INSULATE WALLS. 12-18-02, ELECTRICAL ITEMS ADDED, SERVICE UPGRADE. ADDED ITEMS TO MECH. - WALL HEATERS, PRESSURE TESTS. CLW 2/19/03 KITCHEN REMODEL FOR UNITS A&B INCREASE VALUATION. SBB",Closed Expired,12/06/2002,
B2002-05344-M,"2545 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"REMODEL BATHROOMS IN UNITS A AND B: NEW TILE, NEW FIXTURES, INSULATE WALLS. 12-18-02, ELECTRICAL ITEMS ADDED, SERVICE UPGRADE. ADDED ITEMS TO MECH. - WALL HEATERS, PRESSURE TESTS. CLW 2/19/03 KITCHEN REMODEL FOR UNITS A&B INCREASE VALUATION. SBB",Closed Expired,12/06/2002,
B2002-05344-E,"2545 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"REMODEL BATHROOMS IN UNITS A AND B: NEW TILE, NEW FIXTURES, INSULATE WALLS. 12-18-02, ELECTRICAL ITEMS ADDED, SERVICE UPGRADE. ADDED ITEMS TO MECH. - WALL HEATERS, PRESSURE TESTS. CLW 2/19/03 KITCHEN REMODEL FOR UNITS A&B INCREASE VALUATION. SBB",Closed Expired,12/06/2002,
B2002-05344,"2545 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"REMODEL BATHROOMS IN UNITS A AND B: NEW TILE, NEW FIXTURES, INSULATE WALLS. 12-18-02, ELECTRICAL ITEMS ADDED, SERVICE UPGRADE. ADDED ITEMS TO MECH. - WALL HEATERS, PRESSURE TESTS. CLW 2/19/03 KITCHEN REMODEL FOR UNITS A&B INCREASE VALUATION. SBB",Closed Expired,12/06/2002,
B2024-03402,"2548 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Installing a new water heater and ensuring it is up to code.,Finaled,07/11/2024,
B2024-03403,"2550 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Installing a new water heater and ensuring it is up to code.,Finaled,07/11/2024,
B2021-05593,"2551 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Permit,Per Housing report H2021-02495 Item #4: New non Load bearing partition in living room. (2) New duplex outlets.,Closed Expired,12/13/2021,
B2021-05346,"2551 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,"Per Housing Report #H2021-02458, Dated October 13, 2021. Item # 24. Dry rot repair of exterior stair landing.",Finaled,11/24/2021,
B2021-05272,"2551 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,"2- wall heaters in Unit A. See housing report # H2021-02458, item #8, Item #13, and item # 25",Finaled,11/22/2021,
B2004-01992,"2551 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Unit 2551: close in two existing interior doorways, install new bath doorway, new bedroom doorway and partial wall, remove brick chimney, relocate both water heaters in both units to exterior prefab enclosure, Unit 2551A: kitchen remodel, frame in where brick chimney removed.",Closed Expired,05/10/2004,
B2004-01992-E,"2551 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Unit 2551: close in two existing interior doorways, install new bath doorway, new bedroom doorway and partial wall, remove brick chimney, relocate both water heaters in both units to exterior prefab enclosure, Unit 2551A: kitchen remodel, frame in where brick chimney removed.",Closed Expired,05/10/2004,
B2004-01992-M,"2551 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Unit 2551: close in two existing interior doorways, install new bath doorway, new bedroom doorway and partial wall, remove brick chimney, relocate both water heaters in both units to exterior prefab enclosure, Unit 2551A: kitchen remodel, frame in where brick chimney removed.",Closed Expired,05/10/2004,
B2004-01992-P,"2551 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Unit 2551: close in two existing interior doorways, install new bath doorway, new bedroom doorway and partial wall, remove brick chimney, relocate both water heaters in both units to exterior prefab enclosure, Unit 2551A: kitchen remodel, frame in where brick chimney removed.",Closed Expired,05/10/2004,
B1998-04052,"2553 BENVENUE AVE, BERKELEY CA 94704",Building Permit,EXTERIOR STAIRS & RAIL REPAIR,Closed Expired,09/14/1998,
B2003-05522,"2555 BENVENUE AVE, B, BERKELEY CA 94704",Building Electrical Plumbing Permit,"Kitchen remodel: repl cabinets/countertops, new wiring for counter lighting",Closed Expired,12/12/2003,
B2003-05522-E,"2555 BENVENUE AVE, B, BERKELEY CA 94704",Building Electrical Plumbing Permit,"Kitchen remodel: repl cabinets/countertops, new wiring for counter lighting",Closed Expired,12/12/2003,
B2003-05522-P,"2555 BENVENUE AVE, B, BERKELEY CA 94704",Building Electrical Plumbing Permit,"Kitchen remodel: repl cabinets/countertops, new wiring for counter lighting",Closed Expired,12/12/2003,
B2003-03646,"2555 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,gut and remodel kitchen,Closed Expired,08/15/2003,
B2003-03646-E,"2555 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,gut and remodel kitchen,Closed Expired,08/15/2003,
B2003-03646-P,"2555 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,gut and remodel kitchen,Closed Expired,08/15/2003,
ESR-2026-02344,"2600 BENVENUE Ave, BERKELEY CA 94704",,,Closed Expired,07/07/2026,
ESR-2026-01579,"2600 BENVENUE Ave, BERKELEY CA 94704",,,Closed Expired,05/05/2026,
B2025-00849,"2600 BENVENUE Ave, BERKELEY CA 94704",Electrical Permit,Electrical service upgrade to 400-amp service and relocate new meter stacks and breaker module per PG&E requirements to west exterior elevation.,Issued,03/04/2025,
ESR-2025-00220,"2600 BENVENUE Ave, BERKELEY CA 94704",,,Closed Expired,01/22/2025,
B2023-03446,"2600 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,Legalize addition and two (2) Attic ADUs. Add new 3rd floor deck and exit stairs. Seismic Upgrade,Closed Expired,07/07/2023,addition
B2020-01542,"2600 BENVENUE Ave, BERKELEY CA 94704",Building Permit,"Seismic Upgrade retrofit: 72 linear foot of new interior 24"" wide footing with cripple wall at crawl space. Retrofit existing 93 linear foot of existing interior wall (add plywood at existing). (Upgrade is part of an addition that requires AUP that is incomplete. KChung)",Closed Expired,05/22/2020,addition
B2022-04686,"2601 BENVENUE Ave, BERKELEY CA 94704",PermitPermit,Install 4.0 KW (DC) / 3.6 KW (AC) PV solar panels (10 modules) on the roof.,Finaled,10/10/2022,
B2022-04608,"2601 BENVENUE Ave, BERKELEY CA 94704",Building Permit,"Remove existing roof layers, install 1/2"" sheathing. Install class A composition asphalt shingles.",Closed Expired,10/05/2022,
B1993-04380,"2601 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"TERMITE REPAIR, ITEMS 1A,4A,4B,4G,4E",Closed Expired,05/18/1993,
ESR-2026-02501,"2603 BENVENUE Ave, 4, BERKELEY CA 94704",,,Documents Required,07/19/2026,
B2025-00771,"2603 BENVENUE Ave, 1, BERKELEY CA 94704",Plumbing Permit,Install sump pump on front exterior of home. Install discharge line from sump pump.,Issued,02/26/2025,
24TMP-030928,"2603 BENVENUE Ave, 4, BERKELEY CA 94704",,,,11/22/2024,
B2023-00241,"2603 BENVENUE Ave, 3, BERKELEY CA 94704",Electrical Permit,Install car charger in garage.,Finaled,01/20/2023,
B2021-02049,"2603 BENVENUE Ave, COM, BERKELEY CA 94704",Building Permit,Voluntary Foundation strenghening by installing UFRP and A35 into the existing concrete foundation.,Finaled,05/18/2021,
B2012-02073,"2603 BENVENUE AVE, 3, BERKELEY CA 94704",Building Permit,"** REMOVE/REPLACE SEVEN (7) WINDOWS, TWO (2) DOORS, IN KIND. SEE ATTACHED CONDITIONS OF APPROVAL.",Closed Expired,05/30/2012,
B2007-03393,"2603 BENVENUE AVE, 4, BERKELEY CA 94704",Building Permit,REPLACE 6 WINDOWS.,Closed Expired,07/30/2007,
B2020-03924,"2607 BENVENUE Ave, BERKELEY CA 94704",Electrical Permit,200A main panel upgrade.,Finaled,11/12/2020,
B2020-03618,"2607 BENVENUE Ave, BERKELEY CA 94704",Electrical Permit,Install 4.5 KW PV solar panels (12 modules) on the roof.,Finaled,10/22/2020,
B2005-01771,"2607 BENVENUE AVE, BERKELEY CA 94704",Plumbing Permit,INSTALL TRENCHLESS SEWER,Closed Expired,04/28/2005,
B2016-03353,"2608 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Deck and stair replacement in rear yard.,Finaled,07/18/2016,
B2016-02352,"2608 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,Install three (3) retrofit windows--no size change,Closed Expired,05/18/2016,
B2016-01570,"2608 BENVENUE Ave, BERKELEY CA 94704",Building Permit,DEMO OLD DECK AND REPLACE WITH NEW DECK DUE TO DRY ROT ( REPLACE IN KIND ),Closed Expired,04/05/2016,demolition
B2016-00790,"2608 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,Install one retrofit window in bedroom no size change,Finaled,02/24/2016,
B2008-02418,"2608 BENVENUE AVE, BERKELEY CA 94704",Electrical Permit,"(N) SERVICE 200AMPS- (5) SUB PANELS, 2-CIRCUIT FOR KITCHEN A & B 4-CIRCUIST FOR EACH BATH-REMOVE TUBE IN ATTIC UNIT C & D.",Closed Expired,06/03/2008,
B2007-01657,"2608 BENVENUE AVE, A, BERKELEY CA 94704",Building Permit,Recover roof at rear cottage with new felt & shingles.,Closed Expired,04/18/2007,ADU/unit
B2007-01658,"2608 BENVENUE AVE, C, BERKELEY CA 94704",Building Permit,Recover small porch roof with new felt & shingles.,Closed Expired,04/18/2007,
B2002-01400,"2608 BENVENUE AVE, BERKELEY CA 94704",Building Permit,NEW DECK AND STAIR AT REAR CORNER OF RESIDENCE permit closed - time limit expired - mlw 7/9/03,Closed Expired,04/11/2002,
B2025-04341,"2611 BENVENUE Ave, 4, BERKELEY CA 94704",Building Permit record created from ESR-2025-03279,Voluntary Seismic Retrofit,Finaled,10/01/2025,
B2025-02972,"2611 BENVENUE Ave, BERKELEY CA 94704",Building Permit,"Remove & replace three (3) windows, same sizes & locations. An Address Assignment is required.",Finaled,07/16/2025,
B2015-04249,"2611 BENVENUE AVE, BERKELEY CA 94704",Electrical Permit,200AMP OVERHEAD SERVICE MAIN PANEL UPGRADE FOR 4-PLEX,Finaled,09/01/2015,
B1997-04202,"2611 BENVENUE AVE, COM, BERKELEY CA 94704",Mechanical Permit,REPLACEMENT FURNACE,Closed Expired,09/22/1997,
B2020-04210,"2615 BENVENUE Ave, B, BERKELEY CA 94704",Building Permit,Complete removal of all existing roofing materials and installation of new roofing assembly at 2230 sq ft.,Finaled,12/02/2020,
B2016-03767,"2615 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,Basement seismic improvements Add: (2) posts and sheathing - for transfer tax rebate,Closed Expired,08/11/2016,
B2015-03259,"2615 BENVENUE AVE, B, BERKELEY CA 94704",Plumbing Permit,REPLACE WATER HEATER EF.67,Finaled,07/08/2015,
B2014-02971,"2615 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Permit,"CREATE BEDROOM, BATH REMODEL & WINDOW REPLACEMENT",Closed Expired,06/30/2014,
B2014-02971-E,"2615 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Permit,"CREATE BEDROOM, BATH REMODEL & WINDOW REPLACEMENT",Closed Expired,06/30/2014,
B2014-02971-M,"2615 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Permit,"CREATE BEDROOM, BATH REMODEL & WINDOW REPLACEMENT",Closed Expired,06/30/2014,
B2026-02169,"2619 BENVENUE Ave, F, BERKELEY CA 94704",Building Permit,"Remove & replace two (2) retrofit kitchen windows & one (1) sliding bedroom patio door, same sizes & locations.",Issued,05/22/2026,
B2025-03693,"2619 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,"Remove & replace sixteen (16) windows, same sizes & locations.",Finaled,08/28/2025,
B2025-01595,"2619 BENVENUE Ave, F, BERKELEY CA 94704",Electrical Mechanical Permit,Install ductless mini split heat pump system for second floor unit. Install dedicated 220 V electrical circuit in second floor unit.,Closed Expired,04/18/2025,
B2025-01542,"2619 BENVENUE Ave, C, BERKELEY CA 94704",Electrical Mechanical Permit,Install non-ducted multi-split heat pump on the exterior (upper deck) with air handlers in the living room & bedroom. Install a dedicated 220 V electrical circuit. (Second floor unit.),Closed Expired,04/16/2025,
B2025-01374,"2619 BENVENUE Ave, B, BERKELEY CA 94704",Building Permit record created from ESR-2025-00908,"Replace knob and tube wiring. Install new 200-amp overhead service (no added load) Units A&B Replace Knob and Tube with Romex, and like for like service replacement for Units DEF from Closets to hallway, House panel same location.",Finaled,04/07/2025,
ESR-2025-00906,"2619 BENVENUE Ave, A, BERKELEY CA 94704",,,Closed Expired,03/25/2025,
ESR-2025-00909,"2619 BENVENUE Ave, D, BERKELEY CA 94704",,,Closed Expired,03/25/2025,
ESR-2025-00910,"2619 BENVENUE Ave, E, BERKELEY CA 94704",,,Closed Expired,03/25/2025,
ESR-2025-00911,"2619 BENVENUE Ave, F, BERKELEY CA 94704",,,Closed Expired,03/25/2025,
B2019-04821,"2619 BENVENUE Ave, B, BERKELEY CA 94704",Mechanical Permit,"Install Williams 30,000 BTU wall heater",Finaled,11/05/2019,
B2019-00798,"2619 BENVENUE Ave, A, BERKELEY CA 94704",Mechanical Permit,replace customer existing furnace and cut in 3 new ducts,Finaled,02/25/2019,
B2018-00441,"2619 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Front entrance stair tread replacement,Finaled,01/31/2018,
B2017-03007,"2619 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Install new plywood sheathing and anchor bolts to cripple walls of building 1 and building 2 as part of voluntary strengthening measures.,Finaled,07/12/2017,
B2016-02033,"2619 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,Kitchen and bath remodel in unit G.,Finaled,05/02/2016,
B2016-01340,"2619 BENVENUE Ave, G, BERKELEY CA 94704",Mechanical Permit,INSTALL MINI SPLIT HEAT PUMP & MATCHING WALL MOUNTED HEADS. INSTALL UNIT ON BALCONY,Finaled,03/24/2016,
B2016-01231,"2619 BENVENUE Ave, G, BERKELEY CA 94704",Building Permit,Remove & replace six (6) windows and one (1) Sliding patio door,Closed Expired,03/16/2016,
B1999-02391,"2619 BENVENUE AVE, BERKELEY CA 94704",Building Permit,REPLACE EXT DOORS. NO SIZE OR SHAPE CHANGE,Closed Expired,06/02/1999,
B2023-03375,"2620 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Roofing material to be removed down to the solid sheathing on building 2620 and 2622 Benvenue Avenue. Install comp shingle. Install double layer modified bitumen in the valleys.,Finaled,06/30/2023,
PBA-2022-00057,"2620 BENVENUE Ave, 2, BERKELEY CA 94704",,,Closed Expired,01/13/2022,
B2018-03300,"2620 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Install 5 Gas Shut-off Valves for five units (Group) rate.,Finaled,08/21/2018,
B2023-04092,"2621 BENVENUE Ave, B, BERKELEY CA 94704",Plumbing Permit,Replaced tankless water heater with new Navien tankless water heater in same location,Closed Expired,08/09/2023,
B2022-02500,"2621 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,"Upgrade of existing stair to level 2 deck, Ugrade level 1 and level 2 deck.",Finaled,06/01/2022,
B2002-03561,"2621 BENVENUE AVE, A, BERKELEY CA 94704",Building Permit,ELLIE: PLEASE GIVE ME THE CORRECTION LETTER WHEN YOU GET IT FINISHED-MIKE FAX NUMBER: ORA HATHEWAY 415 621-3393 FAX CORRECTION LETTER AND CALL APPLICANT TO SAY CORRECTION LETTER IS READY,Closed Expired,08/16/2002,
B1999-03060-P,"2621 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Plumbing Permit,"R&R TUB, NEW SURROUND, SINK. REMOVE WATER HEATER-REPL W/TANKLESS UNIT.",Closed Expired,07/07/1999,
B1999-03060-E,"2621 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Plumbing Permit,"R&R TUB, NEW SURROUND, SINK. REMOVE WATER HEATER-REPL W/TANKLESS UNIT.",Closed Expired,07/07/1999,
B1999-03060,"2621 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Plumbing Permit,"R&R TUB, NEW SURROUND, SINK. REMOVE WATER HEATER-REPL W/TANKLESS UNIT.",Closed Expired,07/07/1999,
B2022-00702,"2622 BENVENUE Ave, 2, BERKELEY CA 94704",Building Permit record created from PBA-2022-00244,Replace existing gas line with new,Closed Expired,02/16/2022,
B2022-04545,"2623 BENVENUE Ave, A, BERKELEY CA 94704",Plumbing Permit,Tankless water heater,Finaled,10/03/2022,
B2021-00549,"2626 BENVENUE Ave, COM, BERKELEY CA 94704",Building Permit,"Re-roofing of the building for a new one for approximately total surface area of 3725 Sq. Ft. Also, repair 200 Sq. Ft. of plywood.",Finaled,02/10/2021,
B2008-05400,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Permit,"REMOVE & REPLACE 9E) AROOF MATERIAL, INSTALLATION OF COMP SHINGLED MODIFIED BITUMEN SYSTEM-CLASS A.",Closed Expired,12/09/2008,
B2007-03932,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Plumbing Permit,REPLACE & REROUTE SANITARY DRAIN LINE FOR DUPLEX TO INSURE GRADE.,Closed Expired,08/27/2007,
B2002-04951,"2626 BENVENUE AVE, 5, BERKELEY CA 94704",Mechanical Permit,"INSTALL GAS HEATER IN EXISTING CLOSET W/DUCTS TO 3 ROOMS VIA CHASE. ADD GAS PIPE VIA CHASE, VENT THROUGH ROOF",Closed Expired,11/08/2002,
B2000-00161,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Permit,SEISMIC,Closed Expired,01/13/2000,
B1999-04586,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Electrical Plumbing Permit,NEW STUDIO & HOT TUB,Closed Expired,10/06/1999,
B1999-04586-E,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Electrical Plumbing Permit,NEW STUDIO & HOT TUB,Closed Expired,10/06/1999,
B1999-04586-P,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Electrical Plumbing Permit,NEW STUDIO & HOT TUB,Closed Expired,10/06/1999,
B1999-04060,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Permit,NEW DECK OVER FIRST FLOOR ROOF,Closed Expired,09/03/1999,
B1999-02699,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Permit,REMOVE CONCRETE STAIR AND REPLACE WITH WOOD FRAME STAIRS.,Closed Expired,06/17/1999,
B1998-01559,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Permit,"REMOVE ONE KITCHEN, MERGE 2 UNITS INTO ONE (CONVERTING FROM 5 TO 4 UNITS TOTAL) AND LEGALIZE ROOF DECK",Closed Expired,04/28/1998,ADU/unit
B1993-06995,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Permit,TEAR OFF THREE LAYER OF REROOF WITH FIBERGLASS SHINGLES CLASS A ROOF,Closed Expired,11/17/1993,
B1993-06064,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Electrical Plumbing Permit,"BATHROOM REMODEL. REMOVE TILE AND PLACE NEW, REMOVE LAV/TOILET. REPLACE WITH NEW ONE. NO STRUCTURAL CHANGES",Closed Expired,09/17/1993,
B1993-06064-E,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Electrical Plumbing Permit,"BATHROOM REMODEL. REMOVE TILE AND PLACE NEW, REMOVE LAV/TOILET. REPLACE WITH NEW ONE. NO STRUCTURAL CHANGES",Closed Expired,09/17/1993,
B1993-06064-P,"2626 BENVENUE AVE, COM, BERKELEY CA 94704",Building Electrical Plumbing Permit,"BATHROOM REMODEL. REMOVE TILE AND PLACE NEW, REMOVE LAV/TOILET. REPLACE WITH NEW ONE. NO STRUCTURAL CHANGES",Closed Expired,09/17/1993,
B2022-01291,"2627 BENVENUE Ave, A, BERKELEY CA 94704",Plumbing Permit,Install 30 gallon tank water heater at location of existing water heater,Finaled,03/24/2022,
B2026-01855,"2628 BENVENUE Ave, A, BERKELEY CA 94704",Building Permit,Replace exterior stair,Finaled,05/05/2026,
ESR-2026-00821,"2628 BENVENUE Ave, A, BERKELEY CA 94704",,,Closed Expired,03/10/2026,
ESR-2026-00562,"2628 BENVENUE Ave, A, BERKELEY CA 94704",,,Closed Expired,02/23/2026,
B2022-01106,"2628 BENVENUE Ave, B, BERKELEY CA 94704",Mechanical Permit,install Rinnai wall furnace,Finaled,03/14/2022,
B2019-00040,"2628 BENVENUE Ave, BERKELEY CA 94704",Building Permit,The pitched roof and all of the lower roofs including the rear balcony will be removed down to the solid sheathing. Install Certain Teed Landmark Shingles and a double layer of Certain Teed Bitumen on the lower pitched roof.,Finaled,01/04/2019,
B2016-00884,"2628 BENVENUE Ave, BERKELEY CA 94704",Electrical Permit,Remove non-working(electrical fire pull station) per request of the Fire department.,Closed Expired,02/29/2016,
B2014-03727,"2628 BENVENUE AVE, BERKELEY CA 94704",Mechanical Permit,REPLACE (E) FURNACE,Finaled,08/15/2014,
B2006-05196,"2628 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"Construct post and beam open carport with solid wall at property line. Comp roof, concrete post footing.",Closed Expired,12/12/2006,
B2006-05197,"2628 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Permit,"Construct 14'X22' single car garage. Slab on grade/platform style wood frame, comp roof and cedar shingle siding.",Closed Expired,12/12/2006,
B2006-05197-E,"2628 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Permit,"Construct 14'X22' single car garage. Slab on grade/platform style wood frame, comp roof and cedar shingle siding.",Closed Expired,12/12/2006,
B2002-00161,"2628 BENVENUE AVE, BERKELEY CA 94704",Building Permit,REMOVE DOORS AND ROOF OF (E) CARPORT ONE WALL TO REMAIN AS PORTION OF (E) FENCE. REPAIR SIDING ON DWELLING AND INSTALL FOOTING FOR FOUNDATION OF CANTILEVER SECTION OF DWELLING.,Closed Expired,01/14/2002,
B1998-01010,"2628 BENVENUE AVE, BERKELEY CA 94704",Mechanical Permit,REPLACING 2 UNDERGROUND SECTIONS OF GAS LINE FOR 2 REAR COTTAGES,Closed Expired,03/19/1998,ADU/unit
B2007-01388-P,"2630 BENVENUE AVE, A, BERKELEY CA 94704",Building Plumbing Permit,Condo Conversion Repairs: REPLACE APPROX 100 S.F. OF COMP SHINGLES ON ROOF. STRAP WATER HEATER AND RUN DRAIN FROM PRESS REL VALVE TO THE OUTSIDE. BRING COMBUSTION AIR OPENING UP TO CODE. THIS PERMIT WAS EXPANDED TO INCLUDE INFILLING LIV RM WINDOW AND RPL ENTIRE ROOF TO AVOID MULTIPLE PERMITS ON SAME JOB SITE.--BT,Closed Expired,04/02/2007,
B2007-01388,"2630 BENVENUE AVE, A, BERKELEY CA 94704",Building Plumbing Permit,Condo Conversion Repairs: REPLACE APPROX 100 S.F. OF COMP SHINGLES ON ROOF. STRAP WATER HEATER AND RUN DRAIN FROM PRESS REL VALVE TO THE OUTSIDE. BRING COMBUSTION AIR OPENING UP TO CODE. THIS PERMIT WAS EXPANDED TO INCLUDE INFILLING LIV RM WINDOW AND RPL ENTIRE ROOF TO AVOID MULTIPLE PERMITS ON SAME JOB SITE.--BT,Closed Expired,04/02/2007,
B2018-00095,"2632 BENVENUE Ave, BERKELEY CA 94704",Building Permit,15 squares - complete removal of existing membrane roof and installing new membrane roof,Finaled,01/08/2018,
B2006-03568,"2632 BENVENUE AVE, BERKELEY CA 94704",Building Permit,Rear portion of building only. T/O existing roof. Re-roof w/ certified flintlastic 3-ply self adhered built up roof,Closed Expired,09/07/2006,
B2000-04603,"2632 BENVENUE AVE, BERKELEY CA 94704",Building Permit,T/O EXISTING ROOFING MATL. INSTALL 40# BASE 11# GLASS AND MODIFIED BITUMEN,Closed Expired,10/17/2000,
B2025-05838,"2633 BENVENUE Ave, 3, BERKELEY CA 94704",Mechanical Permit,Unit 3 - changeout furnace at interior closet.,Finaled,12/18/2025,
24TMP-006573,"2633 BENVENUE Ave, 4, BERKELEY CA 94704",,,,02/06/2024,
B2022-01324,"2633 BENVENUE Ave, 3, BERKELEY CA 94704",Building Permit record created from PBA-2022-00515,Enlarge current 18”x30” window to fire escape to 18”x80” door for easier access.,Closed Expired,03/25/2022,
B2017-03733,"2633 BENVENUE Ave, BERKELEY CA 94704",Building Mechanical Permit,"Repair 18 feet of brick chimney from the 3rd floor up, matching existing look of old. Chimney has two fireplaces; Apartments 1 and 3.",Finaled,08/28/2017,
B2017-00098,"2633 BENVENUE Ave, 4, BERKELEY CA 94704",Mechanical Permit,Replace wall furnace.,Finaled,01/05/2017,
B2007-05533,"2633 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"BOLT MUDSILL TO THE FOUNDATION, SECURE THE FLOOR JOISTS TO THE TOP PLATE OF THE CRIPPLE WALLS AND INSTALL PLYWOOD SHEATHING(SHEAR PANELS) ON THE CRIPPLE WALLS. * PERMIT EXTENSION FOR BLDG ON 11-25-08.DC",Closed Expired,11/29/2007,
B2026-01569,"2634 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,40gal natural gas water hater replacement.,Issued,04/15/2026,
B2023-03750,"2634 BENVENUE Ave, BERKELEY CA 94704",Building Permit,"Remove & Replace Comp Shingles Roof with Title 24 Class ""A"" Shingles",Finaled,07/24/2023,
23TMP-022976,"2634 BENVENUE Ave, BERKELEY CA 94704",,,,07/19/2023,
B2020-00828,"2634 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,30 GALLON WATER HEATER. CHANGE OUT. SAME LOCATION,Closed Expired,02/28/2020,
B2006-03569,"2634 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"back garage roof only, t/o existing roof. re-roof w/ certainteed flintlastic s/a 3-ply built up roof",Closed Expired,09/07/2006,
B2000-02915,"2634 BENVENUE AVE, BERKELEY CA 94704",Building Permit,T/O ALL LAYERS OF ROOFING MATL. INSTALL GAF 25YR COMPOSITION SHINGLE ROOF SYSTEM,Closed Expired,07/13/2000,
