JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2022-04101,3400 CALIFORNIA St,052 143600101,ADU,0.0,-4.0
B2021-01216,3108 MABEL St,052 151501900,SFD,0.0,0.0
B2022-05695,1333 SIXTY-SEVENTH St,052 151600900,ADU,0.0,0.0
B2021-04800,1328 HASKELL St,052 151603000,SFD,0.0,0.0
B2022-02907,1329 ALCATRAZ Ave,052 151800700,SFD,0.0,0.0
B2022-04277,1538 HARMON St,052 152000100,ADU,0.0,0.0
B2021-05199,1833 SIXTY-THIRD St,052 152700400,SFD,0.0,0.0
B2022-00336,3218 ADELINE St,052 153000300,SFD,0.0,-1.0
B2022-03297,3206 ELLIS St,052 153400700,ADU,0.0,0.0
B2022-05768,3200 KING St,052 153500100,ADU,0.0,0.0
B2020-01449,1400 SIXTY-SIXTH St,052 153901400,SFD,0.0,0.0
B2021-03691,1420 SIXTY-SIXTH St,052 153902000,SFD,0.0,0.0
B2020-03093,3116 ELLIS St,052 154602500,SFD,0.0,0.0
B2022-04078,3139 ELLIS St,052 154801800,ADU,0.0,0.0
B2022-05077,1830 PRINCE St,052 155000400,ADU,0.0,0.0
B2020-02204,3107 DEAKIN St,052 155700800,SFD,0.0,0.0
B2020-02543,2444 PRINCE St,052 155902100,SFD,0.0,0.0
B2022-00987,3022 HILLEGASS Ave,052 156001000,SFD,-2.0,-2.0
B2022-03446,3025 BATEMAN St,052 156003100,ADU,0.0,0.0
B2022-03311,3051 BENVENUE Ave,052 156202400,ADU,0.0,0.0
B2022-04831,2819 WOOLSEY St,052 156300900,ADU,0.0,-1.0
B2022-05842,2838 PRINCE St,052 156306100,ADU,0.0,0.0
B2022-00093,3134 ETON Ave,052 156310900,SFD,-1.0,-1.0
B2022-04079,3121 LEWISTON Ave,052 156312800,SFD,0.0,0.0
B2021-05170,2957 PINE Ave,052 156507602,SFD,0.0,-1.0
B2022-04383,2931 LINDEN Ave,052 156510900,ADU,0.0,0.0
B2021-05402,2936 PINE Ave,052 156511400,SFD,-1.0,-1.0
B2022-05760,2963 MAGNOLIA St,052 156512500,ADU,0.0,0.0
B2022-06104,2747 ASHBY Pl,052 156700700,ADU,0.0,0.0
B2021-02019,2745 ELMWOOD Ave,052 156704000,SFD,0.0,0.0
B2022-02240,2735 ELMWOOD Ave,052 156704300,SFD,0.0,-1.0
B2022-04170,2525 ASHBY Ave,052 157005700,ADU,0.0,0.0
B2022-03623,2923 FLORENCE St,052 157102400,ADU,0.0,-17.0
B2021-03815,2631 WEBSTER St,052 157300900,ADU,0.0,1.0
B2021-01398,2473 PRINCE St,052 157404900,ADU,0.0,1.0
B2022-03346,2413 PRINCE St,052 157500800,ADU,0.0,0.0
B2018-02077,2311 PRINCE St,052 157601300,SFD,0.0,0.0
B2022-04273,2321 WEBSTER St,052 157700902,ADU,0.0,0.0
B2021-01417,2238 RUSSELL St,052 158000300,SFD,0.0,0.0
B2022-05272,2247 ASHBY Ave,052 158001200,ADU,0.0,0.0
B2021-00565,2243 ASHBY Ave,052 158001300,ADU,0.0,1.0
B2021-05781,2201 ASHBY Ave,052 158101700,SFD,0.0,0.0
B2022-03076,3049 WHEELER St,052 158402600,ADU,0.0,0.0
B2021-02899,2911 ADELINE St,053 159102200,SFD,0.0,0.0
B2022-01445,3021 TREMONT St,053 159301700,SFD,0.0,-1.0
B2022-03743,3032 TREMONT St,053 159500500,ADU,0.0,0.0
B2022-06004,1841 PRINCE St,053 160101600,ADU,0.0,0.0
B2021-05741,2917 KING St,053 160402800,SFD,-1.0,0.0
