JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2023-04283,111 ALVARADO Rd,048H766303800,SFD,0.0,0.0
B2023-02475,25 TANGLEWOOD Rd,048H768002301,SFD,0.0,0.0
B2022-04101,3400 CALIFORNIA St,052 143600101,SFD,0.0,0.0
B2023-03376,1408 ALCATRAZ Ave,052 143901200,SFD,0.0,0.0
B2023-05658,1300 ALCATRAZ Ave,052 144503600,SFD,0.0,0.0
B2022-05695,1333 SIXTY-SEVENTH St,052 151600900,SFD,0.0,0.0
B2022-02907,1329 ALCATRAZ Ave,052 151800700,SFD,0.0,0.0
B2023-03285,1304 HARMON St,052 151802100,SFD,0.0,0.0
B2023-02452,1639 SIXTY-THIRD St,052 152200400,SFD,0.0,-2.0
B2021-05199,1833 SIXTY-THIRD St,052 152700400,SFD,0.0,0.0
B2022-00336,3218 ADELINE St,052 153000300,SFD,0.0,0.0
B2022-05458,1601 HARMON St,052 153501600,SFD,0.0,0.0
B2023-01553-REV01,1600 FAIRVIEW St,052 153502000,SFD,0.0,0.0
B2023-01051,1632 FAIRVIEW St,052 153502700,SFD,0.0,0.0
B2023-02649,1517 HARMON St,052 153603300,SFD,0.0,0.0
B2021-03691,1420 SIXTY-SIXTH St,052 153902000,SFD,0.0,0.0
B2023-02925,1548 WOOLSEY St,052 154400100,SFD,0.0,0.0
B2020-02097,1519 FAIRVIEW St,052 154401200,SFD,1.0,0.0
B2022-02735,6615 DOVER St,052 155201000,ADU,0.0,0.0
B2023-06217,2129 WOOLSEY St,052 155500600,SFD,0.0,0.0
B2023-00225,2134 PRINCE St,052 155502700,SFD,0.0,0.0
B2022-04831,2819 WOOLSEY St,052 156300900,SFD,0.0,0.0
B2022-05842,2838 PRINCE St,052 156306100,SFD,0.0,0.0
B2023-03338,3149 COLLEGE Ave,052 156308700,SFD,0.0,0.0
B2023-00165,3125 LEWISTON Ave,052 156312700,SFD,0.0,0.0
B2022-04079,3121 LEWISTON Ave,052 156312800,SFD,0.0,0.0
B2022-04317,2908 RUSSELL St,052 156500200,SFD,0.0,0.0
B2022-05645,2950 RUSSELL St,052 156501200,SFD,0.0,0.0
B2023-03980,2951 ASHBY Ave,052 156502700,SFD,0.0,0.0
B2022-04659,2946 ASHBY Ave,052 156505800,SFD,0.0,0.0
B2021-03434,2941 LINDEN Ave,052 156510600,SFD,0.0,0.0
B2023-04720,2842 ASHBY Ave,052 156511100,SFD,0.0,0.0
B2022-05760,2963 MAGNOLIA St,052 156512500,SFD,0.0,0.0
B2023-05402,2950 LINDEN Ave,052 156603600,SFD,0.0,0.0
B2023-03593,2959 PIEDMONT Ave,052 156604500,SFD,0.0,0.0
B2022-02434-REV01,2914 PIEDMONT Ave,052 156700400,SFD,0.0,0.0
B2022-06104,2747 ASHBY Pl,052 156700700,SFD,0.0,0.0
B2022-02240,2735 ELMWOOD Ave,052 156704300,SFD,0.0,0.0
B2023-03393,2723 WEBSTER St,052 156705600,SFD,0.0,0.0
B2023-03479,2610 RUSSELL St,052 156900200,SFD,0.0,0.0
B2023-03127,2918 REGENT St,052 157101300,SFD,0.0,0.0
B2023-06108,2410 RUSSELL St,052 157200200,SFD,0.0,0.0
B2023-00338,2445 PRINCE St,052 157402600,SFD,0.0,0.0
B2023-01239,2425 PRINCE St,052 157500200,SFD,0.0,0.0
B2022-05412,2318 WEBSTER St,052 157600500,SFD,0.0,0.0
B2022-05917,2326 WEBSTER St,052 157602300,SFD,0.0,0.0
B2023-05935,3001 DEAKIN St,052 157701900,SFD,0.0,0.0
B2023-04501,2325 WEBSTER St,052 157703200,SFD,0.0,0.0
B2022-05272,2247 ASHBY Ave,052 158001200,SFD,0.0,0.0
B2023-00031,3028 DEAKIN St,052 158301300,SFD,0.0,0.0
B2023-00813,3049 FULTON St,052 158302400,SFD,0.0,0.0
B2023-03282,3017 FULTON St,052 158303400,SFD,0.0,0.0
B2023-03879,2127 PRINCE St,052 158500600,SFD,0.0,0.0
B2021-02899,2911 ADELINE St,053 159102200,SFD,0.0,0.0
B2022-02960,3022 SHATTUCK Ave,053 159300200,SFD,0.0,0.0
B2022-03551,2919 OTIS St,053 159802700,SFD,0.0,0.0
B2023-00780,2927 OTIS St,053 159803300,SFD,0.0,0.0
B2023-00261,2937 M L KING JR Way,053 159902200,SFD,0.0,-1.0
B2022-06004,1841 PRINCE St,053 160101600,SFD,0.0,0.0
B2022-03033,1617 TYLER St,053 160701400,SFD,0.0,0.0
B2023-02508,1622 ASHBY Ave,053 160702700,SFD,0.0,0.0
B2023-05569,1648 ASHBY Ave,053 160703500,SFD,0.0,0.0
B2023-04452,1627 ASHBY Ave,053 160801200,SFD,0.0,0.0
B2022-01590,1616 JULIA St,053 160803100,SFD,0.0,0.0
B2021-05463,1615 JULIA St,053 160901700,SFD,-1.0,0.0
B2018-02159,1605 JULIA St,053 160901900,SFD,0.0,0.0
B2023-02598,1524 RUSSELL St,053 161002400,SFD,0.0,0.0
B2021-02353,1526 RUSSELL St,053 161002500,SFD,0.0,0.0
B2023-05469,1530 RUSSELL St,053 161002600,SFD,0.0,0.0
B2023-02195,1529 TYLER St,053 161200801,SFD,0.0,0.0
B2022-03507,1521 TYLER St,053 161201200,SFD,0.0,0.0
B2023-05136,1510 ASHBY Ave,053 161202200,SFD,0.0,0.0
B2023-06314,2926 STANTON St,053 161901000,SFD,0.0,0.0
B2022-05766,2900 ACTON St,053 162100900,SFD,0.0,0.0
B2022-05764,2904 ACTON St,053 162101000,SFD,0.0,0.0
B2022-03111,1308 RUSSELL St,053 162200400,SFD,0.0,0.0
B2022-05762,2914 ACTON St,053 162300102,SFD,0.0,0.0
B2022-05756,2916 ACTON St,053 162300103,SFD,0.0,0.0
B2023-02858,1307 ASHBY Ave,053 162302200,SFD,0.0,0.0
B2022-03260,3012 ACTON St,053 162400400,SFD,0.0,0.0
B2022-00634,1240 CARRISON St,053 162604200,SFD,-1.0,0.0
B2023-02242,1210 BURNETT St,053 162802700,SFD,0.0,0.0
B2022-04257,2806 ACTON St,053 166700400,SFD,0.0,0.0
B2023-04801,2804 DOHR St,053 166800300,SFD,0.0,-1.0
B2023-05589,1530 STUART St,053 167102800,SFD,0.0,0.0
B2023-02290,2836 MCGEE Ave,053 167300500,SFD,0.0,0.0
B2023-06286,1602 OREGON St,053 167302400,SFD,0.0,0.0
